ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
BK1128.DC,20230210,1028.97,1048.62,989.07,1008.11,1000.0,8.11,0.81,4024173.0,11539065710.0
BK1128.DC,20230213,1013.25,1059.59,1012.94,1057.73,1008.11,49.62,4.92,3973671.0,11047952167.0
BK1128.DC,20230214,1056.33,1062.9,1035.97,1038.86,1057.7299999999998,-18.87,-1.78,3549761.0,9010850405.0
BK1128.DC,20230215,1047.12,1079.39,1042.82,1066.75,1038.86,27.89,2.68,4063456.0,10395007591.0
BK1128.DC,20230216,1048.54,1056.35,1008.1,1013.65,1066.75,-53.1,-4.98,4660716.0,11055221710.0
BK1128.DC,20230217,1013.7,1020.39,978.27,979.41,1013.65,-34.24,-3.38,3397380.0,7806841321.0
BK1128.DC,20230220,977.85,1002.57,973.65,1001.64,979.41,22.23,2.27,2719389.0,6294593846.0
BK1128.DC,20230221,999.5,1011.45,986.01,994.03,1001.64,-7.61,-0.76,2521567.0,5893469800.0
BK1128.DC,20230222,984.95,1001.82,981.39,991.31,994.03,-2.72,-0.27,1897778.0,4424844221.0
BK1128.DC,20230223,989.08,996.31,980.84,985.38,991.31,-5.93,-0.6,2527207.0,5432768079.0
BK1128.DC,20230224,990.73,1033.85,990.73,1021.45,985.38,36.07,3.66,2825743.0,7099274771.0
BK1128.DC,20230227,1015.89,1031.46,1011.97,1017.95,1021.45,-3.5,-0.34,2723182.0,6295839948.0
BK1128.DC,20230228,1042.46,1064.82,1029.66,1049.03,1017.9499999999999,31.08,3.05,3347925.0,8407249980.0
BK1128.DC,20230301,1042.79,1093.45,1041.94,1081.12,1049.03,32.09,3.06,3825579.0,9968700538.0
BK1128.DC,20230302,1077.68,1136.33,1077.15,1127.8,1081.12,46.68,4.32,5040722.0,12104869764.0
BK1128.DC,20230303,1104.21,1117.02,1082.0,1093.06,1127.8,-34.74,-3.08,3849015.0,9650645214.0
BK1128.DC,20230306,1085.76,1110.14,1083.95,1087.93,1093.0600000000002,-5.13,-0.47,3495657.0,8207691733.0
BK1128.DC,20230307,1084.02,1088.65,1046.77,1047.79,1087.93,-40.14,-3.69,3157125.0,7449009723.0
BK1128.DC,20230308,1048.38,1069.8,1048.38,1066.01,1047.79,18.22,1.74,2321185.0,5494472608.0
BK1128.DC,20230309,1063.24,1089.45,1043.36,1083.02,1066.01,17.01,1.6,2655909.0,6624706881.0
BK1128.DC,20230310,1068.35,1088.22,1064.97,1067.3,1083.02,-15.72,-1.45,3023334.0,7208869691.0
BK1128.DC,20230313,1060.5,1097.37,1055.36,1093.62,1067.3,26.32,2.47,2851636.0,7229737510.0
BK1128.DC,20230314,1091.51,1103.62,1074.74,1084.84,1093.62,-8.78,-0.8,2972638.0,7431746522.0
BK1128.DC,20230315,1089.67,1094.89,1052.03,1054.54,1084.84,-30.3,-2.79,2319743.0,5969920682.0
BK1128.DC,20230316,1043.39,1056.95,1034.64,1035.6,1054.54,-18.94,-1.8,1985507.0,4758821705.0
