ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
BK0900.DC,20200102,851.19,863.14,849.55,862.92,846.55,16.37,1.93,40729496.0,40454678528.0
BK0900.DC,20200103,864.36,868.4,860.79,866.23,862.9200000000001,3.31,0.38,38000881.0,38447685376.0
BK0900.DC,20200106,865.36,893.32,864.7,887.22,866.23,20.99,2.42,51537208.0,57132169472.0
BK0900.DC,20200107,890.02,894.51,885.82,894.51,887.22,7.29,0.82,44330399.0,44241969408.0
BK0900.DC,20200108,893.01,911.48,891.47,897.26,894.51,2.75,0.31,53126190.0,51552903936.0
BK0900.DC,20200109,906.44,908.73,900.64,905.6,897.26,8.34,0.93,46526584.0,46613773824.0
BK0900.DC,20200110,904.31,904.67,890.1,895.17,905.5999999999999,-10.43,-1.15,35588063.0,37514121472.0
BK0900.DC,20200113,898.9,911.86,897.07,911.86,895.17,16.69,1.86,40688307.0,45833642752.0
BK0900.DC,20200114,916.51,923.94,912.5,913.03,911.86,1.17,0.13,48601731.0,53967060736.0
BK0900.DC,20200115,909.55,909.55,896.79,902.36,913.03,-10.67,-1.17,35056022.0,38565977600.0
BK0900.DC,20200116,903.38,907.07,897.59,899.66,902.36,-2.7,-0.3,33678168.0,38104095744.0
BK0900.DC,20200117,901.3,903.15,893.66,896.33,899.6600000000001,-3.33,-0.37,36028684.0,41703053824.0
BK0900.DC,20200120,895.18,905.02,891.64,905.0,896.33,8.67,0.97,34559149.0,43350187776.0
BK0900.DC,20200121,899.77,899.77,884.74,884.74,905.0,-20.26,-2.24,31265767.0,38241492224.0
BK0900.DC,20200122,879.28,897.42,865.37,892.06,884.7399999999999,7.32,0.83,34781520.0,47022987520.0
BK0900.DC,20200123,883.27,891.81,852.81,862.12,892.0600000000001,-29.94,-3.36,39331446.0,51816199680.0
BK0900.DC,20200203,778.77,785.29,778.77,781.58,862.12,-80.54,-9.34,15980823.0,37615418624.0
BK0900.DC,20200204,738.78,782.75,738.78,779.32,781.58,-2.26,-0.29,46856829.0,55105651456.0
BK0900.DC,20200205,789.02,818.95,789.02,804.34,779.32,25.02,3.21,43697518.0,62640708864.0
BK0900.DC,20200206,798.04,822.5,793.95,819.12,804.34,14.78,1.84,45896374.0,67339516672.0
BK0900.DC,20200207,818.53,824.4,809.52,823.45,819.12,4.33,0.53,41989582.0,59068502784.0
BK0900.DC,20200210,822.03,853.56,820.37,853.56,823.4499999999999,30.11,3.66,44700672.0,59913812480.0
BK0900.DC,20200211,857.22,859.0,846.87,850.22,853.5600000000001,-3.34,-0.39,39976172.0,53192418048.0
BK0900.DC,20200212,846.89,871.45,845.87,871.0,850.22,20.78,2.44,46525978.0,54427246336.0
BK0900.DC,20200213,868.75,876.66,863.69,865.73,871.0,-5.27,-0.61,49181379.0,56957890816.0
BK0900.DC,20200214,865.26,871.98,855.26,862.75,865.73,-2.98,-0.34,43752998.0,51927091200.0
BK0900.DC,20200217,866.38,892.29,866.38,892.29,862.75,29.54,3.42,50716426.0,58187253760.0
BK0900.DC,20200218,895.27,911.67,894.2,911.67,892.29,19.38,2.17,54530765.0,62497128448.0
BK0900.DC,20200219,921.56,926.23,914.02,914.09,911.6700000000001,2.42,0.27,66752028.0,76779147264.0
BK0900.DC,20200220,918.41,938.18,918.24,937.41,914.0899999999999,23.32,2.55,67262605.0,78928592896.0
BK0900.DC,20200221,937.69,953.18,937.1,949.53,937.41,12.12,1.29,69754271.0,78428966912.0
BK0900.DC,20200224,949.26,966.76,943.76,963.71,949.5300000000001,14.18,1.49,71739543.0,82516586496.0
BK0900.DC,20200225,941.19,983.67,927.05,982.19,963.71,18.48,1.92,88926264.0,101359841280.0
BK0900.DC,20200226,971.83,988.66,955.82,958.62,982.19,-23.57,-2.4,80624448.0,89480245248.0
BK0900.DC,20200227,964.21,970.57,946.9,957.63,958.62,-0.99,-0.1,63387740.0,65000775424.0
BK0900.DC,20200228,917.22,929.3,889.75,890.31,957.6299999999999,-67.32,-7.03,66990141.0,69675802624.0
