ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
BK1215.DC,20200102,2952.98,3002.6,2946.16,2999.99,2927.49,72.5,2.48,14159225.0,20108951146.0
BK1215.DC,20200103,3008.23,3040.17,3005.42,3034.41,2999.99,34.42,1.15,15811972.0,24702234408.0
BK1215.DC,20200106,3010.83,3077.11,2998.83,3052.59,3034.4100000000003,18.18,0.6,16380868.0,24066067367.0
BK1215.DC,20200107,3060.99,3086.3,3043.57,3086.3,3052.59,33.71,1.1,15296916.0,22424441810.0
BK1215.DC,20200108,3066.01,3068.57,3000.15,3008.18,3086.2999999999997,-78.12,-2.53,14665217.0,21387737419.0
BK1215.DC,20200109,3039.82,3100.81,3039.82,3099.18,3008.18,91.0,3.03,17148758.0,26025922227.0
BK1215.DC,20200110,3112.34,3115.37,3067.33,3088.92,3099.1800000000003,-10.26,-0.33,13722350.0,21572357826.0
BK1215.DC,20200113,3080.03,3137.3,3071.89,3137.3,3088.92,48.38,1.57,13071838.0,20781664452.0
BK1215.DC,20200114,3145.64,3146.39,3112.11,3113.11,3137.3,-24.19,-0.77,17024066.0,23476210199.0
BK1215.DC,20200115,3109.71,3124.36,3083.77,3119.61,3113.11,6.5,0.21,12327666.0,18116046031.0
BK1215.DC,20200116,3116.88,3133.92,3096.43,3103.24,3119.6099999999997,-16.37,-0.52,12306518.0,19347581282.0
BK1215.DC,20200117,3112.63,3122.44,3087.88,3093.93,3103.24,-9.31,-0.3,12969015.0,22130811289.0
BK1215.DC,20200120,3088.84,3137.01,3070.19,3137.01,3093.9300000000003,43.08,1.39,13792405.0,22572973526.0
BK1215.DC,20200121,3123.14,3127.59,3086.24,3086.24,3137.0099999999998,-50.77,-1.62,12440190.0,19682734059.0
BK1215.DC,20200122,3053.86,3126.24,3014.66,3112.07,3086.2400000000002,25.83,0.84,14497623.0,24772131592.0
BK1215.DC,20200123,3073.52,3102.61,2958.51,2989.89,3112.0699999999997,-122.18,-3.93,16423397.0,26643170566.0
BK1215.DC,20200203,2698.7,2715.08,2698.15,2707.9,2989.8900000000003,-281.99,-9.43,9661645.0,15517446139.0
BK1215.DC,20200204,2516.32,2682.18,2516.32,2668.44,2707.9,-39.46,-1.46,20437474.0,27990176210.0
BK1215.DC,20200205,2682.06,2801.2,2682.06,2765.04,2668.44,96.6,3.62,16824048.0,26987549341.0
BK1215.DC,20200206,2773.19,2867.9,2759.63,2853.83,2765.04,88.79,3.21,17185877.0,28131170274.0
BK1215.DC,20200207,2867.56,2944.6,2865.83,2941.65,2853.83,87.82,3.08,20829427.0,32239092858.0
BK1215.DC,20200210,2941.38,2983.82,2924.46,2981.07,2941.65,39.42,1.34,21997500.0,35893457687.0
BK1215.DC,20200211,2990.81,2993.88,2934.53,2954.48,2981.07,-26.59,-0.89,16834486.0,26368364373.0
BK1215.DC,20200212,2947.61,3023.86,2943.41,3020.41,2954.48,65.93,2.23,18268692.0,30010356673.0
BK1215.DC,20200213,3011.56,3025.9,2957.58,2965.78,3020.4100000000003,-54.63,-1.81,17231817.0,28963211117.0
BK1215.DC,20200214,2953.93,3019.65,2953.61,2981.47,2965.7799999999997,15.69,0.53,15378282.0,26270415188.0
BK1215.DC,20200217,3013.39,3128.31,3013.39,3128.31,2981.47,146.84,4.93,22503923.0,39313849721.0
BK1215.DC,20200218,3136.27,3217.03,3133.41,3217.03,3128.3100000000004,88.72,2.84,24234069.0,41008402751.0
BK1215.DC,20200219,3204.23,3239.41,3182.26,3182.52,3217.03,-34.51,-1.07,22958420.0,39386159773.0
BK1215.DC,20200220,3186.3,3230.89,3140.59,3228.61,3182.52,46.09,1.45,20846392.0,34296667469.0
BK1215.DC,20200221,3226.14,3337.11,3226.14,3309.29,3228.61,80.68,2.5,25018666.0,41389137024.0
BK1215.DC,20200224,3353.42,3522.13,3353.42,3512.47,3309.29,203.18,6.14,33728972.0,56001675333.0
BK1215.DC,20200225,3448.79,3611.37,3381.82,3599.36,3512.4700000000003,86.89,2.47,46193021.0,79052572009.0
BK1215.DC,20200226,3545.39,3600.2,3429.76,3443.46,3599.36,-155.9,-4.33,40170217.0,65289295206.0
BK1215.DC,20200227,3467.26,3502.64,3357.16,3433.77,3443.46,-9.69,-0.28,29264096.0,48623106126.0
BK1215.DC,20200228,3257.83,3326.58,3179.33,3182.88,3433.77,-250.89,-7.31,28696203.0,45967505043.0
BK1215.DC,20200302,3231.08,3410.18,3229.54,3394.37,3182.88,211.49,6.64,27961300.0,50948727279.0
BK1215.DC,20200303,3502.19,3557.1,3389.25,3420.05,3394.3700000000003,25.68,0.76,35446518.0,65444165455.0
BK1215.DC,20200304,3386.57,3480.9,3362.66,3442.23,3420.05,22.18,0.65,24266837.0,46565028296.0
BK1215.DC,20200305,3578.62,3589.36,3465.86,3490.65,3442.23,48.42,1.41,31314553.0,57524511612.0
BK1215.DC,20200306,3421.88,3500.57,3415.48,3459.37,3490.65,-31.28,-0.9,23486575.0,39819596352.0
BK1215.DC,20200309,3402.01,3555.34,3401.21,3417.45,3459.37,-41.92,-1.21,30393515.0,52657639295.0
BK1215.DC,20200310,3384.18,3642.94,3336.15,3642.94,3417.45,225.49,6.6,40565283.0,71176954905.0
BK1215.DC,20200311,3679.21,3746.86,3572.51,3572.51,3642.94,-70.43,-1.93,40219308.0,74763071093.0
BK1215.DC,20200312,3480.45,3574.91,3476.15,3564.0,3572.51,-8.51,-0.24,31597951.0,56939713233.0
BK1215.DC,20200313,3367.44,3608.1,3367.44,3546.44,3564.0,-17.56,-0.49,36720076.0,61213304023.0
BK1215.DC,20200316,3559.39,3559.39,3256.31,3266.47,3546.4399999999996,-279.97,-7.89,34726350.0,63738668761.0
