ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
BK1216.DC,20200102,2953.14,2971.59,2935.37,2968.82,2945.5800000000004,23.24,0.79,36699299.0,51015482884.0
BK1216.DC,20200103,2967.57,2973.44,2952.22,2965.12,2968.8199999999997,-3.7,-0.12,28324621.0,43805747967.0
BK1216.DC,20200106,2953.06,2982.05,2942.92,2964.33,2965.12,-0.79,-0.03,31700929.0,48930711684.0
BK1216.DC,20200107,2965.85,3007.12,2965.85,3007.12,2964.33,42.79,1.44,28631593.0,43184532528.0
BK1216.DC,20200108,2996.17,2998.96,2957.23,2961.37,3007.12,-45.75,-1.52,27828186.0,38950043862.0
BK1216.DC,20200109,2985.33,3028.78,2985.33,3028.62,2961.37,67.25,2.27,27117712.0,46572298467.0
BK1216.DC,20200110,3039.66,3047.42,3027.94,3040.92,3028.62,12.3,0.41,26869309.0,42663675600.0
BK1216.DC,20200113,3042.82,3065.85,3023.42,3065.85,3040.92,24.93,0.82,25073769.0,41849726942.0
BK1216.DC,20200114,3071.18,3075.87,3063.25,3067.23,3065.85,1.38,0.05,27207931.0,42933968646.0
BK1216.DC,20200115,3065.27,3075.82,3048.33,3058.81,3067.23,-8.42,-0.27,23856798.0,37782600482.0
BK1216.DC,20200116,3059.97,3060.38,3043.3,3051.87,3058.81,-6.94,-0.23,22006017.0,37750190279.0
BK1216.DC,20200117,3056.24,3078.85,3056.24,3064.28,3051.8700000000003,12.41,0.41,25105811.0,46007659684.0
BK1216.DC,20200120,3106.52,3148.37,3094.93,3148.37,3064.2799999999997,84.09,2.74,39175867.0,64096951210.0
BK1216.DC,20200121,3191.52,3253.08,3191.52,3243.49,3148.37,95.12,3.02,63683746.0,90620135987.0
BK1216.DC,20200122,3267.29,3267.29,3168.79,3181.12,3243.49,-62.37,-1.92,57298417.0,76157381741.0
BK1216.DC,20200123,3181.4,3225.22,3105.39,3145.03,3181.1200000000003,-36.09,-1.13,56991612.0,81556263289.0
BK1216.DC,20200203,3035.51,3108.07,3019.47,3071.52,3145.03,-73.51,-2.34,67055506.0,104392975091.0
BK1216.DC,20200204,3070.82,3208.1,3056.0,3192.63,3071.52,121.11,3.94,83037807.0,117719587722.0
BK1216.DC,20200205,3218.08,3360.12,3202.48,3359.81,3192.63,167.18,5.24,91452435.0,135677832219.0
BK1216.DC,20200206,3373.31,3533.49,3358.09,3478.71,3359.81,118.9,3.54,101766539.0,160121360639.0
BK1216.DC,20200207,3511.55,3554.09,3383.3,3411.23,3478.71,-67.48,-1.94,107441738.0,152772153190.0
BK1216.DC,20200210,3410.59,3410.59,3289.91,3327.55,3411.23,-83.68,-2.45,68203969.0,103990598182.0
BK1216.DC,20200211,3300.63,3300.63,3235.91,3287.11,3327.55,-40.44,-1.22,51401353.0,78220011928.0
BK1216.DC,20200212,3273.24,3319.28,3262.34,3307.08,3287.11,19.97,0.61,55320856.0,82520236530.0
BK1216.DC,20200213,3310.0,3310.0,3226.67,3252.07,3307.0800000000004,-55.01,-1.66,57141690.0,83073101286.0
BK1216.DC,20200214,3263.23,3286.11,3223.12,3241.66,3252.0699999999997,-10.41,-0.32,48766272.0,76484431873.0
BK1216.DC,20200217,3255.62,3324.28,3255.62,3324.28,3241.6600000000003,82.62,2.55,48654354.0,79298717108.0
BK1216.DC,20200218,3346.71,3349.75,3310.18,3348.78,3324.28,24.5,0.74,57256153.0,89053003124.0
BK1216.DC,20200219,3339.0,3339.0,3273.92,3273.95,3348.7799999999997,-74.83,-2.23,50955779.0,77782988981.0
BK1216.DC,20200220,3274.59,3288.74,3243.37,3288.42,3273.9500000000003,14.47,0.44,45296916.0,69895640058.0
BK1216.DC,20200221,3285.89,3320.22,3276.44,3317.12,3288.42,28.7,0.87,48522349.0,75228633928.0
BK1216.DC,20200224,3334.28,3375.09,3334.28,3370.8,3317.1200000000003,53.68,1.62,53518114.0,87479376311.0
BK1216.DC,20200225,3329.77,3428.83,3321.19,3426.2,3370.7999999999997,55.4,1.64,74003822.0,110844983098.0
BK1216.DC,20200226,3397.49,3401.72,3314.48,3319.54,3426.2,-106.66,-3.11,60365959.0,93086759683.0
BK1216.DC,20200227,3325.53,3337.26,3279.0,3309.63,3319.54,-9.91,-0.3,41429438.0,66713787943.0
BK1216.DC,20200228,3253.84,3307.13,3224.55,3228.27,3309.63,-81.36,-2.46,52008797.0,82380540472.0
BK1216.DC,20200302,3249.13,3305.97,3245.55,3302.66,3228.27,74.39,2.3,45204443.0,72217726123.0
BK1216.DC,20200303,3331.96,3378.31,3331.96,3349.88,3302.6600000000003,47.22,1.43,53843665.0,89487390332.0
BK1216.DC,20200304,3332.87,3343.64,3295.32,3338.55,3349.88,-11.33,-0.34,39833798.0,64827234636.0
BK1216.DC,20200305,3363.03,3392.78,3355.84,3392.78,3338.55,54.23,1.62,45666188.0,77779506193.0
BK1216.DC,20200306,3382.61,3449.17,3382.61,3435.99,3392.7799999999997,43.21,1.27,49785819.0,77286473032.0
BK1216.DC,20200309,3428.99,3457.71,3417.39,3418.62,3435.99,-17.37,-0.51,64639185.0,97498519676.0
BK1216.DC,20200310,3363.13,3398.48,3288.98,3395.25,3418.62,-23.37,-0.68,60625284.0,91415735773.0
BK1216.DC,20200311,3398.31,3433.44,3385.43,3387.82,3395.25,-7.43,-0.22,46271462.0,70997769729.0
BK1216.DC,20200312,3368.58,3377.75,3296.57,3312.66,3387.8199999999997,-75.16,-2.22,46221067.0,76677986642.0
BK1216.DC,20200313,3146.22,3256.54,3142.41,3228.96,3312.66,-83.7,-2.53,48922691.0,80440312993.0
BK1216.DC,20200316,3270.35,3322.71,3177.97,3186.74,3228.9599999999996,-42.22,-1.31,52106478.0,84155588027.0
BK1216.DC,20200317,3189.39,3211.89,3041.38,3140.86,3186.7400000000002,-45.88,-1.44,47324078.0,74766604427.0
BK1216.DC,20200318,3171.88,3207.75,3111.54,3111.54,3140.86,-29.32,-0.93,42959971.0,72168294321.0
BK1216.DC,20200319,3105.09,3120.11,3015.55,3074.44,3111.54,-37.1,-1.19,42900194.0,71719388687.0
BK1216.DC,20200320,3102.23,3151.94,3094.42,3150.59,3074.44,76.15,2.48,38473383.0,64387864230.0
BK1216.DC,20200323,3109.97,3162.46,3082.36,3088.01,3150.59,-62.58,-1.99,45429467.0,71730646772.0
BK1216.DC,20200324,3122.18,3123.91,3050.98,3118.15,3088.01,30.14,0.98,41667665.0,66512940017.0
BK1216.DC,20200325,3168.26,3221.13,3153.1,3218.77,3118.15,100.62,3.23,45298998.0,73776675456.0
BK1216.DC,20200326,3205.85,3277.25,3190.99,3269.15,3218.77,50.38,1.57,51869072.0,86480112770.0
BK1216.DC,20200327,3296.19,3299.42,3241.45,3244.13,3269.15,-25.02,-0.77,42797390.0,80347871806.0
BK1216.DC,20200330,3224.37,3253.26,3189.86,3200.65,3244.13,-43.48,-1.34,40253618.0,73669092335.0
BK1216.DC,20200331,3213.14,3216.19,3186.52,3193.99,3200.6499999999996,-6.66,-0.21,33424859.0,62308464665.0
