ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
BK1203.DC,20200102,2199.36,2217.11,2180.48,2180.86,2158.82,22.04,1.02,54220421.0,74424063143.0
BK1203.DC,20200103,2181.28,2202.41,2171.37,2180.26,2180.86,-0.6,-0.03,39750184.0,52717939890.0
BK1203.DC,20200106,2149.81,2204.31,2144.32,2176.77,2180.2599999999998,-3.49,-0.16,41850958.0,55499831779.0
BK1203.DC,20200107,2179.84,2204.37,2166.76,2197.79,2176.77,21.02,0.97,36726518.0,48359023126.0
BK1203.DC,20200108,2173.11,2175.85,2121.88,2125.03,2197.7900000000004,-72.76,-3.31,37313684.0,49174837486.0
BK1203.DC,20200109,2156.67,2173.64,2143.54,2156.1,2125.0299999999997,31.07,1.46,27958537.0,38006814162.0
BK1203.DC,20200110,2180.41,2183.32,2140.96,2150.53,2156.1000000000004,-5.57,-0.26,29630417.0,40644696400.0
BK1203.DC,20200113,2136.77,2172.03,2108.73,2172.03,2150.53,21.5,1.0,30613087.0,43716806021.0
BK1203.DC,20200114,2175.16,2185.18,2162.9,2163.94,2172.03,-8.09,-0.37,28447295.0,40954369172.0
BK1203.DC,20200115,2158.02,2164.68,2142.58,2154.01,2163.94,-9.93,-0.46,21414725.0,30765698852.0
BK1203.DC,20200116,2156.7,2156.7,2134.39,2138.18,2154.0099999999998,-15.83,-0.73,19416603.0,28024668040.0
BK1203.DC,20200117,2146.7,2175.09,2141.61,2144.72,2138.18,6.54,0.31,23859333.0,34185944732.0
BK1203.DC,20200120,2145.29,2177.36,2133.21,2177.36,2144.7200000000003,32.64,1.52,27082443.0,40797147134.0
BK1203.DC,20200121,2164.68,2170.97,2135.48,2136.04,2177.36,-41.32,-1.9,28450190.0,41376641345.0
BK1203.DC,20200122,2122.09,2167.31,2097.65,2153.75,2136.04,17.71,0.83,30375606.0,44792107442.0
BK1203.DC,20200123,2126.14,2136.35,2042.95,2061.67,2153.75,-92.08,-4.28,34839014.0,51626492820.0
BK1203.DC,20200203,1857.36,1860.88,1856.23,1857.22,2061.67,-204.45,-9.92,11109914.0,27988789117.0
BK1203.DC,20200204,1722.31,1839.82,1722.31,1823.52,1857.22,-33.7,-1.81,46747722.0,59356158434.0
BK1203.DC,20200205,1823.69,1895.85,1820.47,1850.87,1823.52,27.35,1.5,35854258.0,44651091653.0
BK1203.DC,20200206,1849.38,1906.51,1835.17,1894.71,1850.8700000000001,43.84,2.37,39883540.0,49940255115.0
BK1203.DC,20200207,1888.01,1912.37,1879.21,1907.08,1894.71,12.37,0.65,34109199.0,42649792752.0
BK1203.DC,20200210,1895.18,1939.15,1895.18,1936.02,1907.08,28.94,1.52,29622701.0,38198627942.0
BK1203.DC,20200211,1946.84,1965.66,1930.22,1931.3,1936.02,-4.72,-0.24,28451918.0,37507315682.0
BK1203.DC,20200212,1922.16,1966.36,1919.26,1960.37,1931.3,29.07,1.51,30750413.0,38541888514.0
BK1203.DC,20200213,1956.33,1969.56,1924.25,1927.27,1960.37,-33.1,-1.69,28068129.0,35697521472.0
