ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
BK1202.DC,20200102,1706.22,1715.03,1706.22,1711.3,1691.03,20.27,1.2,18198630.0,16595046648.0
BK1202.DC,20200103,1711.5,1711.61,1698.4,1707.19,1711.3,-4.11,-0.24,14229159.0,12749194553.0
BK1202.DC,20200106,1696.91,1709.21,1689.19,1701.14,1707.19,-6.05,-0.35,16109357.0,14429188253.0
BK1202.DC,20200107,1701.9,1719.99,1701.9,1719.99,1701.14,18.85,1.11,14077313.0,11199672579.0
BK1202.DC,20200108,1713.42,1713.42,1685.29,1687.44,1719.99,-32.55,-1.89,15594848.0,12446808665.0
BK1202.DC,20200109,1699.21,1712.42,1699.21,1712.42,1687.44,24.98,1.48,14697530.0,13657257875.0
BK1202.DC,20200110,1714.28,1714.28,1698.8,1703.59,1712.4199999999998,-8.83,-0.52,11669518.0,10645650983.0
BK1202.DC,20200113,1702.77,1710.34,1691.44,1710.34,1703.59,6.75,0.4,11538925.0,10606839877.0
BK1202.DC,20200114,1711.61,1719.54,1711.61,1714.73,1710.34,4.39,0.26,12754859.0,11007156236.0
BK1202.DC,20200115,1714.05,1714.05,1695.8,1700.1,1714.73,-14.63,-0.85,12315437.0,10572607437.0
BK1202.DC,20200116,1701.1,1701.1,1684.81,1685.71,1700.1000000000001,-14.39,-0.85,10119233.0,9009692022.0
BK1202.DC,20200117,1690.0,1692.54,1679.86,1681.45,1685.71,-4.26,-0.25,8918177.0,7855241796.0
BK1202.DC,20200120,1682.44,1684.83,1672.33,1684.38,1681.45,2.93,0.17,11035822.0,10262623446.0
BK1202.DC,20200121,1684.19,1684.19,1661.19,1661.25,1684.38,-23.13,-1.37,12388915.0,11251659504.0
BK1202.DC,20200122,1657.83,1671.43,1643.4,1668.1,1661.25,6.85,0.41,11929673.0,11006215272.0
BK1202.DC,20200123,1655.82,1655.82,1601.33,1610.82,1668.1,-57.28,-3.43,14306395.0,12376872709.0
BK1202.DC,20200203,1453.72,1456.37,1453.14,1454.58,1610.82,-156.24,-9.7,10645907.0,12351103593.0
BK1202.DC,20200204,1364.72,1434.38,1364.72,1428.93,1454.5800000000002,-25.65,-1.76,19658297.0,14714190869.0
BK1202.DC,20200205,1430.28,1472.0,1430.28,1453.18,1428.93,24.25,1.7,15329652.0,11801026916.0
BK1202.DC,20200206,1455.77,1474.86,1444.56,1469.44,1453.18,16.26,1.12,14768919.0,11489791547.0
BK1202.DC,20200207,1464.97,1471.0,1453.76,1471.0,1469.44,1.56,0.11,13061182.0,9689245520.0
BK1202.DC,20200210,1467.24,1497.33,1462.0,1496.63,1471.0,25.63,1.74,14468412.0,12051236048.0
BK1202.DC,20200211,1498.01,1513.52,1495.44,1504.59,1496.6299999999999,7.96,0.53,12901388.0,10601381761.0
BK1202.DC,20200212,1502.89,1514.35,1498.49,1514.35,1504.59,9.76,0.65,10571269.0,8034519874.0
BK1202.DC,20200213,1513.41,1536.79,1508.08,1509.47,1514.3500000000001,-4.88,-0.32,15489700.0,12568020598.0
BK1202.DC,20200214,1507.49,1532.65,1507.49,1532.49,1509.47,23.02,1.53,16465905.0,14052928804.0
BK1202.DC,20200217,1534.92,1566.95,1534.92,1566.95,1532.49,34.46,2.25,18558432.0,14993799266.0
BK1202.DC,20200218,1563.79,1569.53,1549.63,1564.13,1566.95,-2.82,-0.18,15308010.0,12062046032.0
BK1202.DC,20200219,1561.46,1576.68,1559.96,1565.65,1564.13,1.52,0.1,14636356.0,11012060475.0
BK1202.DC,20200220,1565.3,1587.23,1555.52,1587.23,1565.65,21.58,1.38,16999473.0,13098572508.0
BK1202.DC,20200221,1584.72,1596.79,1582.12,1590.47,1587.23,3.24,0.2,16808005.0,13625102706.0
BK1202.DC,20200224,1587.96,1587.96,1565.87,1579.62,1590.4699999999998,-10.85,-0.68,17923682.0,13942131084.0
BK1202.DC,20200225,1554.54,1568.48,1532.28,1568.4,1579.6200000000001,-11.22,-0.71,19933552.0,15297451213.0
BK1202.DC,20200226,1552.01,1618.69,1552.01,1597.06,1568.3999999999999,28.66,1.83,30742792.0,24864047395.0
BK1202.DC,20200227,1601.05,1604.58,1586.77,1589.33,1597.06,-7.73,-0.48,19533503.0,15084211081.0
BK1202.DC,20200228,1553.96,1573.73,1528.45,1528.76,1589.33,-60.57,-3.81,21837184.0,17753769472.0
