ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000001.SH,20200102,3066.3357,3098.1001,3066.3357,3085.1976,3050.124,35.0736,1.1499,292470208.0,327197122.6
000001.SH,20200103,3089.022,3093.8192,3074.5178,3083.7858,3085.1976,-1.4118,-0.0458,261496667.0,289991708.4
000001.SH,20200106,3070.9088,3107.2032,3065.3088,3083.4083,3083.7858,-0.3775,-0.0122,312575842.0,331182549.9
000001.SH,20200107,3085.4882,3105.4507,3084.329,3104.8015,3083.4083,21.3932,0.6938,276583111.0,288159227.7
000001.SH,20200108,3094.2389,3094.2389,3059.1313,3066.8925,3104.8015,-37.909,-1.221,297872553.0,306517394.5
000001.SH,20200109,3082.6398,3097.3291,3080.1313,3094.8819,3066.8925,27.9894,0.9126,243435649.0,271716020.9
000001.SH,20200110,3102.2938,3105.2248,3081.3961,3092.2907,3094.8819,-2.5912,-0.0837,210442462.0,241555668.1
000001.SH,20200113,3091.493,3115.5696,3075.3837,3115.5696,3092.2907,23.2789,0.7528,210621004.0,258524058.0
000001.SH,20200114,3120.6669,3127.1692,3105.6049,3106.8204,3115.5696,-8.7492,-0.2808,229973769.0,271542441.4
000001.SH,20200115,3103.1749,3107.9426,3082.0425,3090.0379,3106.8204,-16.7825,-0.5402,202313023.0,232913446.7
000001.SH,20200116,3095.7342,3096.3717,3070.884,3074.0814,3090.0379,-15.9565,-0.5164,203375475.0,236843360.1
000001.SH,20200117,3081.4641,3091.9516,3067.2525,3075.4955,3074.0814,1.4141,0.046,190304299.0,242273045.3
000001.SH,20200120,3082.1134,3096.3105,3070.4801,3095.7873,3075.4955,20.2918,0.6598,210493341.0,271122455.4
000001.SH,20200121,3085.7895,3085.7895,3051.2301,3052.1419,3095.7873,-43.6454,-1.4098,234830739.0,286268098.2
000001.SH,20200122,3038.4868,3069.2527,3006.2677,3060.7545,3052.1419,8.6126,0.2822,223852865.0,278456924.0
000001.SH,20200123,3037.9524,3045.0406,2955.346,2976.5281,3060.7545,-84.2264,-2.7518,272763234.0,327490360.4
000001.SH,20200203,2716.6978,2766.5773,2716.6978,2746.6056,2976.5281,-229.9225,-7.7245,215912103.0,257019597.4
000001.SH,20200204,2685.2693,2786.1642,2685.2693,2783.2875,2746.6056,36.6819,1.3355,364046200.0,374068466.8
000001.SH,20200205,2792.3713,2842.7426,2778.8641,2818.0878,2783.2875,34.8003,1.2503,309761823.0,349184114.8
000001.SH,20200206,2826.8851,2876.5878,2807.609,2866.5097,2818.0878,48.4219,1.7183,316392142.0,358582589.7
000001.SH,20200207,2858.9324,2875.9636,2838.7702,2875.9636,2866.5097,9.4539,0.3298,309479642.0,362384162.5
000001.SH,20200210,2860.499,2891.8479,2851.0503,2890.4878,2875.9636,14.5242,0.505,294929784.0,341520398.3
000001.SH,20200211,2894.5414,2913.8159,2882.2428,2901.6744,2890.4878,11.1866,0.387,269168335.0,302956847.2
000001.SH,20200212,2895.5561,2926.8991,2892.424,2926.8991,2901.6744,25.2247,0.8693,248733429.0,297534420.5
000001.SH,20200213,2927.1443,2935.406,2901.2425,2906.0735,2926.8991,-20.8256,-0.7115,274804844.0,334526327.4
000001.SH,20200214,2899.8659,2926.9427,2899.5739,2917.0077,2906.0735,10.9342,0.3763,250650627.0,308080368.7
000001.SH,20200217,2924.9913,2983.6371,2924.9913,2983.6224,2917.0077,66.6147,2.2837,313198007.0,367014340.1
000001.SH,20200218,2981.4097,2990.6003,2960.7751,2984.9716,2983.6224,1.3492,0.0452,311665913.0,374998562.6
000001.SH,20200219,2979.5223,2998.2718,2971.8219,2975.4019,2984.9716,-9.5697,-0.3206,315141151.0,381331160.4
